pid,title,price,date_time,link,img_link
7467072704,beautiful Macgregor 26x sailboat,"
favorite this post
",2022-04-04 18:31,https://neworleans.craigslist.org/boa/d/metairie-beautiful-macgregor-26x/7467072704.html,
7467071888,beautiful Macgregor 26x sailboat,"
favorite this post
",2022-04-04 18:29,https://neworleans.craigslist.org/boa/d/metairie-beautiful-macgregor-26x/7467071888.html,
7472946500,Sailboat MacGregor 26x 1999,"$14,995",2022-04-18 15:38,https://phoenix.craigslist.org/evl/boa/d/chandler-sailboat-macgregor-26x-1999/7472946500.html,
7471393909,MacGregor 26X w/new 90hp Outboard,"$24,500",2022-04-14 15:46,https://reno.craigslist.org/boa/d/incline-village-macgregor-26x-new-90hp/7471393909.html,
7448669652,MacGregor 26M/26X Jib,"
favorite this post
",2022-03-21 14:55,https://reno.craigslist.org/boa/d/south-lake-tahoe-macgregor-26m-26x-jib/7448669652.html,
7472155001,2000 MacGregor 26X with trailer,"$18,500",2022-04-16 12:57,https://orangecounty.craigslist.org/boa/d/anaheim-2000-macgregor-26x-with-trailer/7472155001.html,
7455823541,2005 Macgregor  26M Sailboat,"$19,999",2022-03-30 01:21,https://losangeles.craigslist.org/lac/boa/d/palmdale-2005-macgregor-26m-sailboat/7455823541.html,
7474737018,MacGregor 26M/ 26X Jib,"
favorite this post
",2022-04-22 18:26,https://sfbay.craigslist.org/eby/boa/d/san-leandro-macgregor-26m-26x-jib/7474737018.html,
7475261548,MacGregor 26X 1999,"$17,000",2022-04-24 10:53,https://longisland.craigslist.org/boa/d/montauk-macgregor-26x-1999/7475261548.html,
7468647694,1999 MacGregor 26x - 60HP FI 4 stroke,"$12,000",2022-04-08 12:55,https://miami.craigslist.org/mdc/boa/d/miami-1999-macgregor-26x-60hp-fi-stroke/7468647694.html,
7476155882,2006 Macgregor 26M,"$25,500",2022-04-26 12:52,https://maine.craigslist.org/boa/d/north-berwick-2006-macgregor-26m/7476155882.html,
7474943933,2012 MacGregor 26M Sailboat,"$25,000",2022-04-23 13:11,https://detroit.craigslist.org/wyn/boa/d/taylor-2012-macgregor-26m-sailboat/7474943933.html,
7474136003,"'96 MacGregor 26X, 4-stroke 50hp","$15,500",2022-04-21 11:55,https://portland.craigslist.org/clc/boa/d/albany-96-macgregor-26x-stroke-50hp/7474136003.html,
7471248776,"1996 MacGregor 26X, newer 50 hp four stroke","$15,500",2022-04-14 10:43,https://corvallis.craigslist.org/boa/d/albany-1996-macgregor-26x-newer-50-hp/7471248776.html,
